"id","name","joke"
"b5414a1f-0b06-4f06-a08d-ab2599b049ac","Uno Joke, Por Favor","A Mexican magician says he'll disappear on the count of 3; ""Uno... dos... poof..."". He disappeared without a tres."
"b6dc0870-a4fa-437b-a24b-33193ebed321","Color Blind","Found out I was colour blind the other day... That one came right out the purple."
"bc3d7a48-0ecc-4a70-a4b4-f34f83465245","No Charge","A proton, an electron, & a neutron walk into a bar. The proton orders a shot, drinks it, pulls out his wallet, and pays the bartender. The electron orders a shot, drinks it, pulls out his wallet, and pays the bartender. The neutron orders a shot, drinks it, then pulls out his wallet. The bartender stops him and says, ""for you, no charge..."""
"c185d36b-7c4c-4494-87c9-8b7d1db07a37","Your Grapes Take My Breath Away","What did the green grape say to the purple grape? Breathe, you fool, breathe!"
"c526955f-9ef3-4fa1-b60f-3d378580d2e1","pirate's favorite letter","What's a pirate's favorite letter? It be the Sea"
"c9aaad4d-098f-4dc4-9bf8-ab61176efbb7","The Royal Flush Of The Jungle","Why shouldn't you play cards in the jungle? Too many cheetahs."
"cc112fd2-6eb7-4a76-bb92-c66e064b1180","A Wall Of movies","Last night me and my girlfriend watched three movies back to back. Luckily I was the one facing the TV."
"ccc2933f-26c2-45b7-9d9d-cfeeeedf3b35","They Pinch Pennies","Why do crabs never give to charity? Because they're shellfish."
"cce5cbac-9b48-41d0-bf44-7848c333d354","The Incredible Mr. Dead","What has twenty legs and flies? Five dead Horses."
"cd0e2e73-3a05-4a3a-a4a5-b256b3c020df","Banana Hands","What do you get hanging off banana trees? Sore arms."
"cffa76cd-5563-46bf-bc63-b170aa28b99b","Jump In Price","The price of bouncy castles have doubled this year. That's inflation for you."
"db4c6a4a-e4fc-4591-8e2b-babff8d7abc0","Watch Your Head","Two guys walk into a bar, the third one ducks."
"e428e874-4958-49d9-8887-203ffd7c9060","Napoleonic Bad Joke","Where did Napoleon keep his armies? Up his sleevies."
"e779f305-dcdc-42f2-87ce-011a591fcf5d","My Nephew","What's brown and sticky? A stick."
"f694783c-4b67-40a5-a451-b56c57b7c580","Italians","What do you call a sketchy Italian neighbourhood? The Spaghetto."
"fa4617bb-1570-4ad8-8610-20b87df2ab56","Chickens can't drive","Why do chicken coops only have two doors? Because if they had four, they would be chicken sedans."
"fa5eeda3-a605-4f97-9ee1-f464329f588a","Bel Air","How do you find Will Smith in the snow? You look for the fresh prints."
"faa7e701-86cf-4764-a4fe-b7a8bffc5ac2","Why Don't They Just Open A Bankery","Why do bakers work so hard? They knead the dough."
"fd34db50-820c-4388-b45f-7f97de782355","Banking","I used to be a banker but I lost interest"
