name,scientificName,family,description,hardiness,height,spread,sunlight,soil,growth,uses,wildlife,nativeRange,fallColor,wikipediaLink
Arjun Tree,Terminalia arjuna,Combretaceae,"Sacred tree with significant medicinal value, especially for heart ailments. Bark widely used in Ayurvedic medicine. Large spreading crown.",Tropical to subtropical,"60-85 feet","50-60 feet","Full sun","Moist, well-drained, near water bodies","Medium","Ayurvedic heart medicine; Timber for construction; Tannin from bark; Avenue tree; Sericulture (host for tussar silkworm)","Flowers attract bees","Throughout India, especially near rivers","Deciduous",https://en.wikipedia.org/wiki/Terminalia_arjuna
Indian Sandalwood,Santalum album,Santalaceae,"Highly valued for fragrant heartwood used in perfumes, cosmetics, and religious ceremonies. Slow-growing and highly protected. Oil worth more than gold by weight.",Tropical to subtropical,"20-30 feet","10-20 feet","Full sun to part shade","Well-drained, requires host plant (parasitic roots)","Very slow","Perfume and essential oil; Incense; Religious and ceremonial use; Wood carving; Traditional medicine","Limited wildlife value","Southern India, especially Karnataka","Evergreen",https://en.wikipedia.org/wiki/Santalum_album
Indian Laburnum,Cassia fistula,Fabaceae,"Golden Shower Tree, covered in hanging clusters of bright yellow flowers. State flower of Kerala. Used in Ayurvedic medicine.",Tropical to subtropical,"30-40 feet","25-35 feet","Full sun","Well-drained, adaptable","Medium","Ornamental flowering tree; Ayurvedic medicine (laxative); Timber; Pulp from pods used traditionally","Flowers attract bees and butterflies","Throughout India","Deciduous, golden spring bloom",https://en.wikipedia.org/wiki/Cassia_fistula
Ashoka Tree,Saraca asoca,Fabaceae,"Sacred to Hindus, associated with love and fertility. Fragrant orange-red flowers. Name means 'without sorrow' in Sanskrit.",Tropical to subtropical,"25-35 feet","20-25 feet","Part shade to full sun","Moist, well-drained","Slow to medium","Ornamental tree in temple gardens; Ayurvedic medicine for women's health; Bark used medicinally; Religious ceremonies","Flowers attract insects","Western Ghats, eastern India","Evergreen",https://en.wikipedia.org/wiki/Saraca_asoca
Gulmohar,Delonix regia,Fabaceae,"Flame Tree or Royal Poinciana. Spectacular display of bright red-orange flowers in summer. One of the most colorful trees in the tropics.",Tropical,"30-40 feet","40-60 feet spread","Full sun","Well-drained, tolerates poor soil","Fast","Ornamental shade tree; Avenue tree; Pods used in traditional medicine; Timber occasionally","Flowers attract birds, especially parrots","Native to Madagascar, naturalized in India","Deciduous",https://en.wikipedia.org/wiki/Delonix_regia
Indian Cork Tree,Millingtonia hortensis,Bignoniaceae,"Tree Jasmine, produces fragrant white flowers at night. Long tubular flowers resembling jasmine. Popular ornamental.",Tropical to subtropical,"40-60 feet","20-30 feet","Full sun","Well-drained, fertile","Medium","Ornamental flowering tree; Perfume industry; Avenue tree; Flowers used in garlands","Night-blooming flowers attract moths and bats","Myanmar, naturalized in India","Evergreen",https://en.wikipedia.org/wiki/Millingtonia_hortensis
Kadam Tree,Neolamarckia cadamba,Rubiaceae,"Fast-growing with spherical orange flowers. Sacred in Hinduism, associated with Lord Krishna. Smooth gray bark.",Tropical,"50-65 feet","30-40 feet","Full sun","Moist, well-drained","Very fast","Timber for plywood and pulp; Ornamental tree; Traditional medicine; Flowers used in worship","Flowers attract bees, fruits eaten by birds","Throughout tropical India","Evergreen",https://en.wikipedia.org/wiki/Neolamarckia_cadamba
Mahua Tree,Madhuca longifolia,Sapotaceae,"Flowers and fruits important for tribal communities. Flowers dried and eaten or fermented for liquor. Seeds yield oil.",Tropical to subtropical,"50-65 feet","40-50 feet","Full sun","Well-drained, tolerates dry soil","Slow","Edible flowers; Mahua liquor; Seed oil for cooking and soap; Timber; Tribal cuisine","Flowers attract elephants, bears, and deer","Central and northern India","Deciduous",https://en.wikipedia.org/wiki/Madhuca_longifolia
Indian Elm,Holoptelea integrifolia,Ulmaceae,"Fast-growing hardy tree for dry regions. Used for erosion control and agroforestry. Tolerates harsh conditions.",Tropical to subtropical,"40-50 feet","30-40 feet","Full sun","Well-drained, tolerates poor and dry soil","Fast","Timber for agricultural implements; Fuelwood; Erosion control; Fodder for cattle","Limited wildlife value","Throughout India, especially drier regions","Deciduous",https://en.wikipedia.org/wiki/Holoptelea_integrifolia
Jackfruit Tree,Artocarpus heterophyllus,Moraceae,"Produces the largest tree-borne fruit in the world, up to 80 pounds. Fruit has numerous culinary uses. Fast-growing and productive.",Tropical,"30-70 feet","30-40 feet","Full sun","Well-drained, fertile","Medium to fast","Edible fruit (raw and cooked); Timber for furniture and musical instruments; Leaves as fodder; Young fruit as vegetable","Fruits eaten by elephants and other large mammals","Western Ghats, now cultivated throughout India","Evergreen",https://en.wikipedia.org/wiki/Artocarpus_heterophyllus
